flow_cell_id	kit_type	run_start_time	run_end_time	estimated_n50	bases_called_pass	reads_called_pass	elapsed_time_seconds	name_external	run_time_hours
PAY80694	SQK-ULK114	2024-12-04T15:15:21Z	2024-12-11T08:27:32Z	53714.633754957154	112470746486	4356332	571645	Unknown	158.7902777777778
PBA32113	SQK-ULK114	2024-11-11T13:25:36Z	2024-11-16T13:31:47Z	67073	106573295444	3832146	432002	Unknown	120.00055555555555
PBA36199	SQK-ULK114	2024-11-11T13:33:02Z	2024-11-16T13:39:14Z	77586	101170475091	2731211	432002	Unknown	120.00055555555555
PBA75463	SQK-ULK114	2024-12-04T15:15:21Z	2024-12-11T08:27:32Z	52435.7683799029	124700727272	4941389	571645	Unknown	158.7902777777778
PBA75681	SQK-ULK114	2024-12-04T15:15:21Z	2024-12-11T08:27:32Z	46742.59028888882	92561805832	4558778	571643	Unknown	158.78972222222222
PBA75688	SQK-ULK114	2024-12-04T15:15:21Z	2024-12-11T08:27:32Z	28340.837950497516	105671646178	7773711	571645	Unknown	158.7902777777778
PBC38130	SQK-ULK114	2025-01-27T16:28:40Z	2025-02-02T12:34:51Z	107152	6386617383	113138	504000	T2T01	140
PBC38194	SQK-ULK114	2025-01-27T16:28:40Z	2025-02-02T12:30:35Z	117578	10099340136	177199	504003	T2T01	140.00083333333333
PBC38212	SQK-ULK114	2025-02-17T14:31:10Z	2025-02-23T10:33:03Z	124660	22924468849	369163	504002	T2T04_1	140.00055555555556
PBC38214	SQK-ULK114	2025-02-17T14:31:10Z	2025-02-23T10:37:21Z	133957	28523224736	438462	504001	T2T04_1	140.00027777777777
PBC38344	SQK-ULK114	2025-02-17T14:31:10Z	2025-02-23T10:33:04Z	140631	24758557316	376333	504003	T2T04	140.00083333333333
PBC38583	SQK-ULK114	2025-02-17T14:31:10Z	2025-02-23T10:33:02Z	134654	31254557279	474879	504000	T2T04	140
PBC38760	SQK-ULK114	2025-01-27T16:28:40Z	2025-02-02T12:34:55Z	136430	56087639143	852615	504004	T2T03	140.0011111111111
PBC47112	SQK-ULK114	2025-01-27T16:28:40Z	2025-02-02T12:34:51Z	127996	49149945783	738839	504001	T2T03	140.00027777777777
PBC48743	SQK-ULK114	2025-01-27T16:28:40Z	2025-02-02T12:34:52Z	119246	77376241997	1307745	503999	T2T02	139.99972222222223
PBC48800	SQK-ULK114	2025-02-17T14:31:10Z	2025-02-20T09:48:51Z	113762.09449991018	4203986371	77926	188466	T2T04_2	52.35166666666667
PBC48831	SQK-ULK114	2025-02-17T14:31:10Z	2025-02-23T10:37:24Z	128759	31289808464	515140	504004	T2T04_2	140.0011111111111
PBC50005	SQK-ULK114	2025-01-27T16:28:40Z	2025-02-02T12:34:50Z	123409	20758216830	321975	504000	T2T02	140
PBC71237	SQK-ULK114	2025-05-09T09:11:41Z	2025-05-16T07:04:08Z	61877	75220872602	2461408	596775	T2T04	165.77083333333334
PBC71241	SQK-ULK114	2025-05-09T12:13:34Z	2025-05-14T09:06:25Z	61560	40566582978	1413672	420402	T2T04	116.77833333333334
PBC79211	SQK-ULK114	2025-05-07T08:30:08Z	2025-05-12T18:16:36Z	76609	82989781874	2303018	466819	T2T05	129.67194444444445
PBC79686	SQK-ULK114	2025-05-06T10:49:40Z	2025-05-09T07:30:50Z	72996	57246415884	1709302	246898	T2T05	68.58277777777778
PBC80080	SQK-ULK114	2025-05-12T09:56:32Z	2025-05-16T07:54:50Z	57170	74493993188	2635889	337924	T2T04	93.86777777777777
PBC81394	SQK-ULK114	2025-04-07T10:27:27Z	2025-04-11T09:04:51Z	131904	20331766037	327672	340275	T2T04	94.52083333333333
PBE12764	SQK-ULK114	2025-07-14T13:18:04Z	2025-07-21T07:11:21Z	71204	79072778738	1919083	582679	T2T05	161.8552777777778
PBE18989	SQK-ULK114	2025-07-14T13:18:04Z	2025-07-21T07:11:21Z	62921	80455792106	2525686	582421	T2T06	161.7836111111111
PBE38308	SQK-ULK114	2025-06-12T10:29:28Z	2025-06-17T10:03:21Z	93333	51019867511	1018349	430056	T2T10	119.46
PBE41047	SQK-ULK114	2025-06-03T11:29:32Z	2025-06-10T06:53:38Z	75482	30536753956	887761	587870	T2T02	163.29722222222222
PBE42124	SQK-ULK114	2025-06-12T10:29:28Z	2025-06-17T10:03:21Z	111439	49003527534	868396	430057	T2T08	119.46027777777778
PBE42357	SQK-ULK114	2025-06-02T11:25:56Z	2025-06-10T06:53:38Z	83149	80592638634	1886915	674749	T2T01	187.43027777777777
PBE43703	SQK-ULK114	2025-06-12T10:29:28Z	2025-06-17T10:03:21Z	78515.36320306094	62003498259	1738025	391965	T2T08	108.87916666666666
PBE45933	SQK-ULK114	2025-06-03T11:29:32Z	2025-06-10T06:53:38Z	68241	52458088356	1605695	587872	T2T06	163.29777777777778
PBE45959	SQK-ULK114	2025-06-02T11:25:56Z	2025-06-10T06:53:38Z	73385	48301305855	1463640	674752	T2T02	187.4311111111111
PBE46825	SQK-ULK114	2025-06-02T11:25:56Z	2025-06-10T06:53:38Z	60153	70396187027	2473570	674489	T2T07	187.35805555555555
PBE46832	SQK-ULK114	2025-06-02T11:25:56Z	2025-06-10T06:53:38Z	71332	57639615416	1817803	674488	T2T06	187.35777777777778
PBE46856	SQK-ULK114	2025-06-03T11:29:32Z	2025-06-10T06:53:38Z	78550	63515465825	1644728	588122	T2T01	163.3672222222222
PBE46925	SQK-ULK114	2025-06-03T11:29:32Z	2025-06-10T06:53:38Z	58876	63463657693	2131786	587873	T2T07	163.29805555555555
PBE47108	SQK-ULK114	2025-06-12T10:29:28Z	2025-06-17T10:03:21Z	98735	43180988814	862371	430060	T2T09	119.46111111111111
PBE50721	SQK-ULK114	2025-07-14T13:18:04Z	2025-07-21T07:11:21Z	62239	53200230590	1733111	582422	T2T07	161.7838888888889
PBE51014	SQK-ULK114	2025-07-14T13:18:04Z	2025-07-21T07:11:21Z	88025	63511093189	1336639	582677	T2T08	161.85472222222222
PBE51187	SQK-ULK114	2025-07-07T15:05:47Z	2025-07-14T07:12:08Z	95121	60943387742	1160519	576005	T2T09	160.0013888888889
PBE56222	SQK-ULK114	2025-07-14T13:18:04Z	2025-07-21T07:11:21Z	82630	34559828983	812318	582680	T2T04_2	161.85555555555555
PBE56370	SQK-ULK114	2025-06-12T10:29:28Z	2025-06-16T08:52:04Z	89081	15634937107	456126	339379	T2T10	94.27194444444444
PBE57053	SQK-ULK114	2025-06-12T10:29:28Z	2025-06-17T10:03:21Z	95664	35281807203	875570	430059	T2T09	119.46083333333333
PBE57917	SQK-ULK114	2025-07-14T13:18:04Z	2025-07-21T07:11:21Z	63353	50111033656	1487112	582676	T2T11	161.85444444444445
PBE58135	SQK-ULK114	2025-07-14T13:18:04Z	2025-07-21T07:11:21Z	95523	41641321534	780509	582675	T2T10	161.85416666666666
PBE59544	SQK-ULK114	2025-07-07T15:05:47Z	2025-07-14T07:12:08Z	95732	54727750710	1038965	576007	T2T13	160.00194444444443
PBE71338	SQK-ULK114	2025-07-07T15:05:47Z	2025-07-14T07:12:08Z	74302	72552591694	1756794	576006	T2T13	160.00166666666667
PBE71517	SQK-ULK114	2025-07-07T15:05:47Z	2025-07-11T09:09:04Z	76254	61681228922	1469796	323823	T2T13	89.95083333333334
PBE71551	SQK-ULK114	2025-07-07T15:05:47Z	2025-07-10T13:51:16Z	101981	24354081352	431917	254355	T2T10	70.65416666666667
PBG02822	SQK-ULK114	2025-07-29T14:09:18Z	2025-08-04T07:21:14Z	66644	115288461728	3343829	493547	T2T12	137.0963888888889
PBG04283	SQK-ULK114	2025-07-29T14:09:18Z	2025-08-04T07:21:14Z	78970	98535172276	2384404	493548	T2T15	137.09666666666666
PBG04296	SQK-ULK114	2025-07-29T14:09:18Z	2025-08-04T07:21:14Z	89521	89709915291	1803046	493806	T2T12	137.16833333333332
PBG04374	SQK-ULK114	2025-08-18T15:23:10Z	2025-08-25T05:47:08Z	79102	70839902631	1740719	570129	T2T17	158.36916666666667
PBG04408	SQK-ULK114	2025-07-29T14:09:18Z	2025-08-04T07:21:14Z	98553	79755811227	1444051	493807	T2T12	137.16861111111112
PBG04428	SQK-ULK114	2025-08-18T15:23:10Z	2025-08-25T05:47:08Z	91492	84570138520	1732036	569872	T2T18	158.29777777777778
PBG04462	SQK-ULK114	2025-08-18T15:23:10Z	2025-08-25T05:47:08Z	85537	82823726632	1796628	569872	T2T19	158.29777777777778
PBG04478	SQK-ULK114	2025-08-18T15:23:10Z	2025-08-25T05:47:08Z	73348	71658223338	1858913	570131	T2T17	158.3697222222222
PBG04521	SQK-ULK114	2025-07-29T14:09:18Z	2025-08-04T07:21:14Z	82763	113868407998	2552646	493544	T2T15	137.09555555555556
PBG04710	SQK-ULK114	2025-08-18T15:23:10Z	2025-08-25T05:47:08Z	77297	113387124611	2883039	570132	T2T19	158.37
PBG04788	SQK-ULK114	2025-08-18T15:23:10Z	2025-08-25T05:47:08Z	83442	82929741190	1849621	569871	T2T19	158.2975
PBG05786	SQK-ULK114	2025-07-29T14:09:18Z	2025-08-04T07:21:14Z	87861	71015982798	1413801	493548	T2T16	137.09666666666666
PBG08967	SQK-ULK114	2025-08-18T15:23:10Z	2025-08-25T05:47:08Z	87654	88268917512	1922715	570128	T2T18	158.36888888888888
PBG09107	SQK-ULK114	2025-08-18T15:23:10Z	2025-08-25T05:47:08Z	83997	103219791159	2256267	569871	T2T17	158.2975
PBG09440	SQK-ULK114	2025-08-18T15:23:10Z	2025-08-25T05:47:08Z	90691	96093407210	1953425	569870	T2T18	158.29722222222222
PBG16827	SQK-ULK114	2025-09-16T12:11:17Z	2025-09-22T05:43:56Z	70742	67797938530	1704661	495056	T2T00_1	137.51555555555555
PBG20761	SQK-ULK114	2025-09-16T12:11:17Z	2025-09-22T05:43:56Z	82464	30477953582	720120	494787	T2T00_2	137.44083333333333
PBG28115	SQK-ULK114	2025-07-29T14:09:18Z	2025-08-04T07:21:14Z	89388	88222948387	1722049	493808	T2T16	137.1688888888889
PBG28503	SQK-ULK114	2025-07-29T14:09:18Z	2025-08-04T07:21:14Z	89194	104099528795	2067426	493544	T2T15	137.09555555555556
PBG31083	SQK-ULK114	2025-09-16T12:11:17Z	2025-09-22T05:43:56Z	62162	73745882357	2202501	495053	T2T00_1	137.51472222222222
PBG32848	SQK-ULK114	2025-09-16T12:11:17Z	2025-09-22T05:43:56Z	79684	13600877924	338074	494787	T2T00_2	137.44083333333333
PBG51422	SQK-ULK114	2025-07-29T14:09:18Z	2025-08-04T07:21:14Z	84069	86013733647	1785818	493809	T2T16	137.16916666666665
